time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-07-14T00:33:14.613Z,27.634,55.9372,10,4.2,mb,52,114,2.688,0.68,us,us6000i298,2022-09-24T21:25:42.040Z,"60 km NW of Bandar Abbas, Iran",earthquake,5.3,1.9,0.095,31,reviewed,us,us
2022-07-13T02:38:05.598Z,26.8292,55.1385,10,4.2,mb,18,118,2.107,0.83,us,us7000hser,2022-09-24T21:25:47.040Z,"southern Iran",earthquake,7.93,1.952,0.187,8,reviewed,us,us
2022-07-11T17:32:21.915Z,26.5869,54.2687,10,4.2,mb,49,118,2.391,0.97,us,us6000i1l7,2022-09-24T21:25:56.040Z,"25 km E of K?sh, Iran",earthquake,9.1,1.9,0.096,30,reviewed,us,us
2022-07-11T17:16:50.580Z,26.6588,54.2887,10,4.5,mb,81,75,2.427,0.84,us,us6000i1l5,2022-09-24T21:25:56.040Z,"29 km ENE of K?sh, Iran",earthquake,7.9,1.8,0.064,71,reviewed,us,us
2022-07-08T20:28:13.607Z,26.5189,54.1745,13.605,4.6,mb,48,80,2.41,0.77,us,us6000i2pg,2022-09-13T06:26:25.040Z,"southern Iran",earthquake,7.75,2.534,0.099,35,reviewed,us,us
2022-07-07T19:08:15.502Z,26.8802,55.1821,10,4.1,mb,25,102,2.135,0.85,us,us6000i23w,2022-09-13T06:26:11.040Z,"46 km NE of Bandar-e Lengeh, Iran",earthquake,9.8,1.9,0.151,12,reviewed,us,us
2022-07-06T03:05:19.610Z,26.896,55.1476,10,4.3,mb,17,141,2.163,0.53,us,us6000i1v3,2022-09-13T06:26:01.040Z,"southern Iran",earthquake,11,1.9,0.177,9,reviewed,us,us
2022-07-05T10:30:36.988Z,26.6989,55.3504,10,4.1,mb,33,96,1.908,0.43,us,us6000i0xv,2022-09-13T06:25:14.040Z,"49 km ENE of Bandar-e Lengeh, Iran",earthquake,8.98,1.917,0.145,13,reviewed,us,us
2022-07-04T04:14:47.808Z,26.7957,55.2514,10,4.2,mb,61,56,2.033,0.58,us,us6000hznl,2022-09-13T06:21:46.040Z,"45 km NE of Bandar-e Lengeh, Iran",earthquake,4.17,1.865,0.082,42,reviewed,us,us
2022-07-03T18:41:59.826Z,26.8813,55.2602,10,4.1,mb,20,144,2.107,0.34,us,us6000i0lv,2022-09-13T06:23:57.040Z,"52 km NE of Bandar-e Lengeh, Iran",earthquake,13.7,1.9,0.165,10,reviewed,us,us
2022-07-03T12:18:58.877Z,26.9015,54.4111,10,4.2,mb,37,109,2.53,0.31,us,us6000i0l8,2022-09-13T06:23:50.040Z,"54 km NE of K?sh, Iran",earthquake,9.2,1.9,0.104,26,reviewed,us,us
2022-07-03T07:32:20.186Z,26.8101,55.2587,10,4.1,mb,16,122,2.043,0.36,us,us6000i0la,2022-09-13T06:23:52.040Z,"46 km NE of Bandar-e Lengeh, Iran",earthquake,6.6,1.9,0.185,9,reviewed,us,us
2022-07-02T19:29:19.041Z,26.8832,55.2002,10,4.4,mb,78,55,2.131,0.8,us,us6000hzfj,2022-09-13T06:21:10.040Z,"southern Iran",earthquake,7.7,1.9,0.072,56,reviewed,us,us
2022-07-02T14:44:18.671Z,26.1322,54.2484,10,4.2,mb,24,177,2.125,0.88,us,us6000hze6,2022-09-13T06:21:00.040Z,"52 km SSE of K?sh, Iran",earthquake,5.8,1.9,0.11,23,reviewed,us,us
2022-07-02T09:15:45.347Z,26.8335,54.9731,10,4.5,mb,68,39,2.182,0.35,us,us6000hzd2,2022-09-13T06:20:48.040Z,"31 km NNE of Bandar-e Lengeh, Iran",earthquake,6,1.9,0.077,51,reviewed,us,us
2022-07-02T05:06:57.287Z,26.8795,55.2125,10,4.6,mb,60,63,2.123,0.6,us,us6000hzc3,2022-09-13T06:20:45.040Z,"48 km NE of Bandar-e Lengeh, Iran",earthquake,8.6,1.9,0.083,43,reviewed,us,us
2022-07-02T03:47:51.189Z,26.8968,55.1896,10,4.4,mb,32,106,2.147,0.61,us,us6000hzbf,2022-09-13T06:20:44.040Z,"48 km NE of Bandar-e Lengeh, Iran",earthquake,11,1.9,0.138,16,reviewed,us,us
2022-07-02T03:29:10.151Z,26.8667,55.3162,10,4.6,mb,65,41,2.073,0.66,us,us6000hzbc,2022-09-13T06:20:42.040Z,"55 km NE of Bandar-e Lengeh, Iran",earthquake,7.7,1.8,0.063,75,reviewed,us,us
2022-07-02T02:51:52.257Z,26.8411,55.2203,10,4.3,mb,41,68,2.085,0.88,us,us6000hzb3,2022-09-13T06:20:40.040Z,"southern Iran",earthquake,8.4,1.9,0.104,26,reviewed,us,us
2022-07-02T01:14:54.005Z,26.7815,55.3215,10,4.2,mb,28,108,1.994,1.02,us,us6000hzaj,2022-09-13T06:20:38.040Z,"50 km ENE of Bandar-e Lengeh, Iran",earthquake,7,1.9,0.121,20,reviewed,us,us
2022-07-02T00:37:38.148Z,26.8389,55.1889,10,4,mb,29,98,2.095,0.49,us,us6000i0js,2022-09-13T06:23:35.040Z,"43 km NE of Bandar-e Lengeh, Iran",earthquake,10.5,1.9,0.149,12,reviewed,us,us
2022-07-01T23:49:19.077Z,26.8957,55.1898,10,4.2,mb,52,65,2.146,0.8,us,us6000hz9z,2022-09-03T21:03:28.040Z,"48 km NE of Bandar-e Lengeh, Iran",earthquake,5.9,1.6,0.095,31,reviewed,us,us
2022-07-01T23:25:13.465Z,26.8878,55.3213,9,6,mwb,379,20,2.091,0.6,us,us6000hz9v,2022-09-03T21:03:28.040Z,"",earthquake,7.08,1.722,0.028,126,reviewed,us,us
2022-07-01T23:24:13.113Z,26.8843,55.2572,7,5.7,mwb,135,26,2.111,0.79,us,us6000hz9p,2022-09-03T21:03:28.040Z,"southern Iran",earthquake,6.84,1.732,0.036,74,reviewed,us,us
2022-07-01T23:13:43.643Z,26.9054,55.2978,10,4.2,mb,74,94,2.116,0.69,us,us6000hz9l,2022-09-03T21:03:27.040Z,"56 km NE of Bandar-e Lengeh, Iran",earthquake,7.67,1.871,0.073,52,reviewed,us,us
2022-07-01T23:09:30.765Z,27.126,62.8188,10,4.3,mb,20,229,6.333,0.46,us,us6000i0as,2022-09-03T21:03:30.040Z,"126 km N of Turbat, Pakistan",earthquake,6.7,2,0.169,10,reviewed,us,us
2022-07-01T22:43:49.627Z,26.8557,55.2013,10,4.4,mb,65,55,2.106,0.58,us,us6000hz9h,2022-09-03T21:03:27.040Z,"",earthquake,7.39,1.84,0.069,61,reviewed,us,us
2022-07-01T22:07:45.813Z,26.8423,55.1355,10,4.2,mb,78,41,2.12,0.88,us,us6000hz98,2022-09-03T21:03:27.040Z,"40 km NE of Bandar-e Lengeh, Iran",earthquake,5.25,1.866,0.072,54,reviewed,us,us
2022-07-01T21:47:51.095Z,26.8923,55.2365,10,5,mb,160,54,2.126,0.59,us,us6000hz94,2022-09-03T21:03:27.040Z,"southern Iran",earthquake,7.14,1.812,0.04,200,reviewed,us,us
2022-07-01T21:41:57.663Z,25.9617,56.3116,10,4.3,mb,22,96,1.016,0.46,us,us6000i0ap,2022-09-03T21:03:30.040Z,"25 km SSE of Khasab, Oman",earthquake,5.7,2,0.16,11,reviewed,us,us
2022-07-01T21:39:51.332Z,26.9773,55.0053,10,4.7,mb,43,99,2.293,0.59,us,us6000i0an,2022-09-03T21:03:30.040Z,"48 km NNE of Bandar-e Lengeh, Iran",earthquake,7.4,1.4,0.13,18,reviewed,us,us
2022-07-01T21:32:07.977Z,26.9061,55.2389,16,6,mww,191,19,2.137,0.67,us,us6000hz8x,2022-09-03T21:03:27.040Z,"52 km NE of Bandar-e Lengeh, Iran",earthquake,7.1,1.707,0.057,30,reviewed,us,us
